MP Name ,% Votes at which MP was absent in ,MP Name,Total Expenses for Jan Feb 2011 minus travel expenses
Clive_Efford,28.8,Clive Efford,120
Conor_Burns,19.2,Conor Burns,11381.72
Conor_Murphy,100,,
Craig_Whittaker,38.5,Craig Whittaker,6370.51
Crispin_Blunt,9.6,Crispin Blunt,3642.93
Dai_Havard,55.8,Dai Havard,8687.71
Damian_Collins,3.8,Damian Collins,9494.19
Damian_Green,7.7,Damian Green,5688.89
Damian_Hinds,1.9,Damian Hinds,4830.5
Dan_Byles,1.9,,
Dan_Rogerson,11.5,Dan Rogerson,8093.66
Daniel_Kawczynski,7.7,Daniel Kawczynski,7166.69
Daniel_Poulter,21.2,Daniel Poulter,6604.49
Danny_Alexander,40.4,Danny Alexander,14261.3
Dave_Watts,59.6,Dave Watts,4355.27
David_Amess,26.9,David Amess,4052.02
David_Anderson,25,David Anderson,2091.72
David_Blunkett,38.5,David Blunkett,4984.47
David_Cameron,75,David Cameron,404.89
David_Crausby,25,David Crausby,9235.31
David_Davies,32.7,David Davies,8223.72
David_Davis,28.8,David Davis,12898.87
David_Evennett,7.7,David Evennett,1928.58
David_Gauke,11.5,David Gauke,2494.09
David_Hamilton,32.7,David Hamilton,11133.91
David_Hanson,21.2,David Hanson,8797.52
David_Heath,3.8,David Heath,6764.89
David_Heyes,48.1,David Heyes,9027.62
David_Jones,7.7,David Jones,6209.71
David_Lammy,38.5,David Lammy,2628.86
David_Laws,17.3,David Laws,4957.9
David_Lidington,19.2,David Lidington,2804.11
David_Miliband,42.3,David Miliband,5207.52
David_Morris,28.8,David Morris,8352.68
David_Mowat,7.7,David Mowat,3523.67
David_Mundell,23.1,David Mundell,13682.56
David_Nuttall,1.9,David Nuttall,8789.74
David_Ruffley,40.4,David Ruffley,6843.39
David_Rutley,5.8,David Rutley,12442.47
David_Simpson,42.3,David Simpson,3864.51
David_Tredinnick,17.3,David Tredinnick,6344.65
David_Ward,9.6,David Ward,6347.77
David_Willetts,25,David Willetts,3877.36
David_Winnick,23.1,David Winnick,3956.16
David_Wright,28.8,David Wright,5912.41
Dawn_Primarolo,100,Dawn Primarolo,7364.76
Debbie_Abrahams,25,,
Denis_MacShane,38.5,Denis MacShane,5757.72
Dennis_Skinner,3.8,Dennis Skinner,1625.5
Derek_Twigg,40.4,Derek Twigg,6919.6
Desmond_Swayne,26.9,Desmond Swayne,1507.28
Diana_Johnson,25,Diana Johnson,6268.23
Diane_Abbott,25,Diane Abbott,2293.71
Dominic_Grieve,19.2,Dominic Grieve,1568.21
Dominic_Raab,42.3,Dominic Raab,822.92
Don_Foster,13.5,Don Foster,8087.82
Douglas_Alexander,51.9,Douglas Alexander,7038.52
Douglas_Carswell,23.1,Douglas Carswell,5381.79
Duncan_Hames,3.8,Duncan Hames,8458.73
Edward_Balls,26.9,Ed Balls,8412.59
Edward_Davey,30.8,Edward Davey,6866.75
Edward_Garnier,13.5,Edward Garnier,2881.52
Edward_Leigh,57.7,Edward Leigh,652
Edward_Miliband,65.4,Edward Miliband,1303.68
Edward_Timpson,17.3,Edward Timpson,5460.76
Edward_Vaizey,23.1,Edward Vaizey,1851.42
Eilidh_Whiteford,36.5,Eilidh Whiteford,10460.08
Eleanor_Laing,13.5,Eleanor Laing,4243.88
Elfyn_Llwyd,15.4,Elfyn Llwyd,9866.14
Elizabeth_Truss,7.7,Elizabeth Truss,3364.4
Emily_Thornberry,40.4,Emily Thornberry,8023.74
Emma_Reynolds,28.8,Emma Reynolds,6081.41
Eric_Joyce,55.8,Eric Joyce,8076.56
Eric_Ollerenshaw,9.6,Eric Ollerenshaw,885.22
Eric_Pickles,23.1,,
Esther_McVey,5.8,Esther McVey,8472.8
Fabian_Hamilton,73.1,Fabian Hamilton,5703.97
Fiona_Bruce,3.8,Fiona Bruce,6220.91
Fiona_Mactaggart,38.5,Fiona Mactaggart,4397.46
Fiona_O%26%2339%3BDonnell,32.7,Fiona O'Donnell,15845.52
Francis_Maude,38.5,Francis Maude,8580.36
Frank_Dobson,36.5,Frank Dobson,959.63
Frank_Doran,28.8,Frank Doran,21196.16
Frank_Field,34.6,Frank Field,1941.66
Frank_Roy,51.9,Frank Roy,12084.41
Gareth_Johnson,5.8,Gareth Johnson,4939.82
Gareth_Thomas,25,Gareth Thomas,3891.1
Gary_Streeter,25,Gary Streeter,13719.09
Gavin_Barwell,15.4,Gavin Barwell,7367.2
Gavin_Shuker,30.8,Gavin Shuker,1555
Gavin_Williamson,3.8,Gavin Williamson,4080.89
Gemma_Doyle,23.1,Gemma Doyle,3192.4
Geoffrey_Clifton-Brown,11.5,Geoffrey Clifton-Brown,1784.43
Geoffrey_Cox,11.5,Geoffrey Cox,6207.02
Geoffrey_Robinson,25,Geoffrey Robinson,3824.35
George_Eustice,11.5,George Eustice,3470.79
George_Freeman,11.5,George Freeman,3639.81
George_Hollingbery,7.7,George Hollingbery,358.44
George_Howarth,34.6,George Howarth,10097.85
George_Mudie,53.8,George Mudie,3352.3
George_Osborne,61.5,George Osborne,1828.05
George_Young,7.7,George Young,3986.93
Geraint_Davies,51.9,Geraint Davies,3690.74
Gerald_Howarth,32.7,Gerald Howarth,3979.44
Gerald_Kaufman,40.4,Gerald Kaufman,4866.34
Gerry_Sutcliffe,34.6,Gerry Sutcliffe,10582.72
Gisela_Stuart,44.2,Gisela Stuart,4610.37
Glenda_Jackson,32.7,Glenda Jackson,4396.67
Gloria_De_Piero,28.8,Gloria De Piero,8273.03
Glyn_Davies,7.7,Glyn Davies,9703.64
Gordon_Banks,23.1,Gordon Banks,16107.72
Gordon_Birtwistle,13.5,Gordon Birtwistle,9753.74
Gordon_Brown,67.3,Gordon Brown,8930.44
Gordon_Henderson,9.6,Gordon Henderson,4909.83
Gordon_Marsden,25,Gordon Marsden,3020.79
Graeme_Morrice,26.9,Graeme Morrice,11276.86
Graham_Allen,84.6,Graham Allen,9858.63
Graham_Brady,28.8,Graham Brady,7330.33
Graham_Evans,17.3,Graham Evans,11738.49
Graham_Jones,25,Graham Jones,9745.07
Graham_Stringer,32.7,Graham Stringer,6776.83
Graham_Stuart,30.8,Graham Stuart,13235.88
Grahame_Morris,23.1,Grahame Morris,14040.09
Grant_Shapps,21.2,Grant Shapps,6130.09
Greg_Clark,19.2,Greg Clark,8111.63
Greg_Hands,17.3,Greg Hands,2447.73
Greg_Knight,26.9,Greg Knight,1723.5
Greg_Mulholland,21.2,Greg Mulholland,1265.2
Gregg_McClymont,32.7,Gregg McClymont,15552.49
Gregory_Barker,25,Gregory Barker,3153.35
Gregory_Campbell,71.2,Gregory Campbell,1773.29
Guto_Bebb,38.5,Guto Bebb,8799.62
Guy_Opperman,13.5,Guy Opperman,4044.42
Harriet_Harman,50,Harriet Harman,5163.11
Harriett_Baldwin,7.7,Harriett Baldwin,7194.61
Hazel_Blears,44.2,Hazel Blears,5880.68
Heather_Wheeler,3.8,Heather Wheeler,7449.46
Heidi_Alexander,26.9,Heidi Alexander,1933.83
Helen_Goodman,26.9,Helen Goodman,15380.59
Helen_Grant,19.2,Helen Grant,5502.03
Helen_Jones,25,Helen Jones,10610.49
Henry_Bellingham,34.6,Henry Bellingham,385.41
Henry_Smith,9.6,Henry Smith,2897.84
Hilary_Benn,21.2,Hilary Benn,6311.44
Hugh_Bayley,34.6,Hugh Bayley,8276.86
Hugh_Robertson,28.8,Hugh Robertson,5012.97
Hugo_Swire,42.3,Hugo Swire,2422.65
Huw_Irranca-Davies,28.8,Huw Irranca-Davies,1570.04
Hywel_Francis,28.8,Hywel Francis,7909.2
Hywel_Williams,11.5,Hywel Williams,8120.58
Iain_Duncan_Smith,38.5,Iain Duncan Smith,622.31
Iain_Stewart,5.8,Iain Stewart,2688.15
Iain_Wright,32.7,Iain Wright,2271.87
Ian_Austin,23.1,Ian Austin,9205.49
Ian_Davidson,19.2,Ian Davidson,5242.61
Ian_Lavery,28.8,Ian Lavery,5282.07
Ian_Liddell-Grainger,19.2,Ian Liddell-Grainger,4580.55
Ian_Lucas,23.1,Ian Lucas,4999.26
Ian_Mearns,50,Ian Mearns,16755.51
Ian_Murray,21.2,Ian Murray,10939.87
Ian_Paisley_Jnr,73.1,Ian Paisley Junior,1790.67
Ian_Swales,13.5,Ian Swales,9537.66
Ivan_Lewis,32.7,Ivan Lewis,11136.07
Jack_Dromey,30.8,Jack Dromey,9617.56
Jack_Lopresti,15.4,Jack Lopresti,8116.14
Jack_Straw,38.5,Jack Straw,5031.52
Jackie_Doyle-Price,3.8,Jackie Doyle-Price,4710.79
Jacob_Rees-Mogg,11.5,Jacob Rees-Mogg,3750.4
Jake_Berry,5.8,Jake Berry,1960.81
James_Arbuthnot,23.1,James Arbuthnot,734.23
James_Brokenshire,26.9,James Brokenshire,278.92
James_Duddridge,7.7,James Duddridge,7009.75
James_Gray,15.4,James Gray,6494.13
James_Morris,5.8,James Morris,1730.31
James_Paice,38.5,James Paice,6926.27
James_Wharton,5.8,James Wharton,5934.09
Jamie_Reed,40.4,Jamie Reed,5212.46
Jason_McCartney,21.2,Jason McCartney,3089.75
Jeffrey_M_Donaldson,50,Jeffrey Donaldson,7932.79
Jenny_Chapman,32.7,Jenny Chapman,12061.77
Jennifer_Willott,23.1,Jenny Willott,10122.84
Jeremy_Browne,36.5,Jeremy Browne,3897.31
Jeremy_Corbyn,28.8,Jeremy Corbyn,754.57
Jeremy_Hunt,36.5,Jeremy Hunt,688.88
Jeremy_Lefroy,5.8,Jeremy Lefroy,4974.5
Jeremy_Wright,19.2,Jeremy Wright,10734.2
Jesse_Norman,34.6,Jesse Norman,7145.79
Jessica_Lee,7.7,Jessica Lee,5702.01
Jessica_Morden,25,Jessica Morden,7015.18
Jim_Cunningham,26.9,Jim Cunningham,5485.3
Jim_Dobbin,40.4,Jim Dobbin,4540.66
Jim_Dowd,28.8,Jim Dowd,5831.55
Jim_Fitzpatrick,21.2,Jim Fitzpatrick,792.54
,,Jim Hood,11126.59
Jim_McGovern,48.1,Jim McGovern,17291.29
Jim_Murphy,38.5,Jim Murphy,17507.89
Jim_Shannon,30.8,Jim Shannon,3266.55
