MP Name ,% Votes at which MP was absent in ,MP Name,Total Expenses for Jan Feb 2011 minus travel expenses
Robert_Syms,5.8,Robert Syms,5768.93
Robert_Walter,19.2,Robert Walter,1652.8
Roberta_Blackman-Woods,23.1,Roberta Blackman-Woods,16244.17
Robin_Walker,7.7,Robin Walker,4083.34
Roger_Gale,44.2,Roger Gale,9023.45
Roger_Godsiff,88.5,Roger Godsiff,3032.92
Roger_Williams,17.3,Roger Williams,8554.95
Ronnie_Campbell,28.8,Ronnie Campbell,9548.09
Rory_Stewart,30.8,Rory Stewart,3340.74
Rosie_Cooper,26.9,Rosie Cooper,8999.22
Rosie_Winterton,30.8,Rosie Winterton,4573.45
Rushanara_Ali,23.1,Rushanara Ali,834.74
Russell_Brown,38.5,Russell Brown,12635.15
Sadiq_Khan,36.5,Sadiq Khan,1862.23
Sajid_Javid,9.6,Sajid Javid,2599
Sam_Gyimah,7.7,Sam Gyimah,793.34
Sammy_Wilson,73.1,Sammy Wilson,2630.46
Sandra_Osborne,55.8,Sandra Osborne,8933.28
Sarah_Newton,9.6,Sarah Newton,174.24
Sarah_Teather,23.1,Sarah Teather,4611.06
Sarah_Wollaston,15.4,Sarah Wollaston,8548.27
Shabana_Mahmood,30.8,Shabana Mahmood,6222.16
Shailesh_Vara,3.8,Shailesh Vara,4421.79
Sharon_Hodgson,19.2,Sharon Hodgson,13315.29
Shaun_Woodward,53.8,Shaun Woodward,21357.11
Sheila_Gilmore,21.2,Sheila Gilmore,9605.12
Sheryll_Murray,15.4,Sheryll Murray,7896.47999999999
Si%26acirc%3Bn_James,44.2,Siân James,14303.7
Simon_Burns,7.7,Simon Burns,1886.08
Simon_Danczuk,42.3,Simon Danczuk,4973.32
Simon_Hart,5.8,Simon Hart,14920.53
Simon_Hughes,23.1,Simon Hughes,6424.78
Simon_Kirby,3.8,Simon Kirby,7088.99
Simon_Reevell,32.7,Simon Reevell,7590.45
Simon_Wright,15.4,Simon Wright,2176.17
Siobhain_McDonagh,40.4,Siobhain McDonagh,2673.21
Stella_Creasy,23.1,Stella Creasy,1512.32
Stephen_Barclay,3.8,Stephen Barclay,10256.86
Stephen_Crabb,5.8,Stephen Crabb,10718.32
Stephen_Dorrell,17.3,Stephen Dorrell,4673.54
Stephen_Gilbert,5.8,Stephen Gilbert,4133.05
Stephen_Hammond,7.7,Stephen Hammond,1763.33
Stephen_Hepburn,23.1,Stephen Hepburn,8131.01
Stephen_Lloyd,15.4,Stephen Lloyd,13539.95
Stephen_McCabe,19.2,Stephen McCabe,7668.23
Stephen_McPartland,28.8,Stephen McPartland,3346.91
Stephen_Metcalfe,11.5,Stephen Metcalfe,4336.44
Stephen_Mosley,15.4,Stephen Mosley,6014.49
Stephen_O%26%2339%3BBrien,42.3,Stephen O'Brien,3191.64
Stephen_Phillips,3.8,Stephen Phillips,2161.85
Stephen_Pound,40.4,Stephen Pound,1221.27
Stephen_Timms,26.9,Stephen Timms,2172.47
Stephen_Twigg,26.9,Stephen Twigg,4382.67
Stephen_Williams,9.6,Stephen Williams,5913.25
Steve_Brine,15.4,Steve Brine,7271.5
Steve_Rotheram,19.2,Steve Rotheram,10267.35
Steve_Webb,19.2,Steve Webb,12248.66
Steven_Baker,23.1,Steve Baker,2343.49
Stewart_Hosie,34.6,Stewart Hosie,15002.58
Stewart_Jackson,7.7,Stewart Jackson,6690.65
Stuart_Andrew,15.4,Stuart Andrew,10952
Stuart_Bell,65.4,Stuart Bell,7542.76
Susan_Elan_Jones,25,Susan Jones,5741.59
Teresa_Pearce,25,Teresa Pearce,3478.57
Tessa_Jowell,40.4,Tessa Jowell,1851.06
Tessa_Munt,21.2,Tessa Munt,6951.38
Theresa_May,32.7,Theresa May,553.12
Theresa_Villiers,11.5,Theresa Villiers,4445.21
Therese_Coffey,5.8,Therese Coffey,3523.46
Thomas_Docherty,28.8,Thomas Docherty,11040.91
Tim_Farron,32.7,Tim Farron,6952.29
Tim_Loughton,9.6,Tim Loughton,11319.78
Tim_Yeo,30.8,Tim Yeo,3175.52
Tobias_Ellwood,28.8,Tobias Ellwood,3089.32
Toby_Perkins,42.3,Toby Perkins,6990.99
Tom_Blenkinsop,26.9,Tom Blenkinsop,5981.49
Tom_Brake,13.5,Tom Brake,5805.48
Tom_Clarke,34.6,Tom Clarke,7109.88999999999
Tom_Greatrex,50,Tom Greatrex,22188.68
Tom_Harris,32.7,Tom Harris,14863.99
Tom_Watson,36.5,Tom Watson,13859.14
Tony_Baldry,13.5,Tony Baldry,3131.17
Tony_Cunningham,21.2,Tony Cunningham,8766.29999999999
Tony_Lloyd,25,Tony Lloyd,7380.37
Tracey_Crouch,5.8,Tracey Crouch,2068.64
Tristram_Hunt,25,Tristram Hunt,6297.63
Valerie_Vaz,19.2,Valerie Vaz,8670.16999999999
Vernon_Coaker,21.2,Vernon Coaker,4928.98
Vincent_Cable,42.3,Vincent Cable,1146.82
Virendra_Sharma,59.6,Virendra Sharma,994.4
Wayne_David,21.2,Wayne David,8522.71
William_Hague,57.7,William Hague,3224.9
William_McCrea,44.2,William McCrea,9750.81
William_Bain,21.2,Willie Bain,11046.21
Yasmin_Qureshi,32.7,Yasmin Qureshi,11770.04
Yvette_Cooper,28.8,Yvette Cooper,5669.41
Yvonne_Fovargue,23.1,Yvonne Fovargue,16886.98
Zac_Goldsmith,19.2,,
