Name of Contract,Brief contract description,Location,Date,Value (£)
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=64477&fs=true"">National Partner for the Community Organisers Programme</a>","
The provision of a National Partner for the Community Organisers Programme",United Kingdom,.04/04/2015.,"4,876,853"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=69960&fs=true"">Supply of Osprey Body Armour Plates (Part 1 of 2)</a>","
Supply of Osprey Body Armour Plates (Part 1 of 2)",Coventry,.07/10/2011.,"4,873,080"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=69964&fs=true"">Supply of Osprey Body Armour Plates (Part 2 of 2)</a>","
Supply of Osprey Body Armour Plates (Part 2 of 2).",Coventry,.07/10/2011.,"4,873,080"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=1064&fs=true"">D's State Level Porgrammes</a>","
DFID PO 5470 DFID Nigeria wishes to appoint an independent external provider (the Service Provider) to monitor progress with, and evaluate the achie",East Kilbride West,.13/01/2016.,"4,865,643"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=49579&fs=true"">DFID: Service Provider for Technical Assistance National Water and Sanitation Policy</a>","
DFID wishes to contract a Service Provider (SP) for up to three years to manage a programme of support ie the Hygiene Sanitation & Water Supply Progra",East Kilbride West,.03/02/2014.,"4,815,707"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=116637&fs=true"">National Travel Framework</a>","
Contract for the provision of travel arrangements (rail and air) on a national basis. ",United Kingdom,.18/05/2012.,"4,500,000"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=109324&fs=true"">Engineering Support for Chinooks at RAF Odiham</a>","
Repair and maintenance services of helicopters.",Hampshire and Isle of Wight,.12/05/2013.,"4,100,000"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=121274&fs=true"">Support For The Passive Identification Device (PID) For The Lynx Mk8</a>","
strip, survey and repair PID components",Basildon,.31/12/2015.,"3,920,000"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=1070&fs=true"">DFID PO 5345 Kenya Market Assistance Programme (awarded to an SME)</a>","
DFID PO 5345: DFID is seeking Expressions of Interest (EOI) for a service provider (SP) to design and implement a market development programme. The ob",East Kilbride West,.13/06/2015.,"3,900,000"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=26475&fs=true"">RAF Marham Junior Ranks Mess Kitchen</a>","
Demolish existing kitchen and build new kitchen (Notice 2 of 2)",Norfolk,.04/06/2012.,"3,688,727"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=26383&fs=true"">RAF Marham Junior Ranks Mess Kitchen</a>","
Demolish existing kitchen and build new kitchen (Notice 1 of 2)",Norfolk,.04/06/2012.,"3,688,727"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=121289&fs=true"">DNA Parentage Testing Service</a>","
Provision of a genetic testing service to the Child Maintenance and Enforcement Commission ",United Kingdom,.23/05/2014.,"3,550,000"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=897&fs=true"">Interim Purchase of Protective Combat Eyewear</a>","
""Interim Purchase of Protective Combat Eyewear "" ",Oxfordshire,.03/02/2012.,"3,473,920"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=1058&fs=true"">Supply of Protected Plant</a>","
Supply of Caterpillar Ultra Light Weight (Protected), Light Wheeled Tractor (Protected) and Medium Wheeled Tractor (Protected) ",Cannock Chase,.09/02/2013.,"3,397,631"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=88195&fs=true"">Supply of Fuel to Kenya</a> ","
Supply of Fuel to Kenya",Dorset and Somerset,.21/04/2013.,"3,000,000"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=26296&fs=true"">HA 13/1/837 (OJ191) UK National Road Authoritys Asset Valuation System</a>","
UK National Road Authoritys Asset Valuation System",United Kingdom,.04/01/2016.,"2,500,000"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=101659&fs=true"">Provision of Licence Acquision Training Services for the Armed Forces in 145 South Brigade</a>","
Driving Licence Acquisition Training",South East,.06/05/2013.,"2,248,685"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=48010&fs=true"">Supply of Spares in Support of Dantherm Heating and Cooling Equipment</a>","
Single Operator Framework Agreement for the purchase of Spares in support of Dantherm Heating and Cooling Equipment",United Kingdom,.24/03/2013.,"2,000,000"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=123030&fs=true"">Hire of aircraft</a> 
",Hire of aircraft for the acquisition of aerial photography,Southampton,.14/02/2015.,"2,000,000"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=112907&fs=true"">Support Services Castle Meadow</a>","
HMRC is looking to appoint a contractor who will be responsible for the provision of a range of office support services to HMRC staff at the Clients p",Nottingham,.17/05/2013.,"1,600,000"
"<a href=""http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?site=1000&lang=en&noticeid=19626&fs=true"">OECD PROGRAMME FOR INTERNATIONAL STUDENT ASSESSMENT (PISA) 2012</a>","
OECD PROGRAMME FOR INTERNATIONAL STUDENT ASSESSMENT (PISA) 2012 ",Sheffield,.24/02/2014.,"1,553,525"
