"Time (Approx), if known",Date,Day (from noon to 6am),Place,Location details,Local authority,What happened?,Source,Picture links,Icon name
19:00:00,"August 8, 2011",Monday,Injured man robbed by rioters in Barking,"51.53635, 0.0815",Barking,A 20-year old Malaysian man was robbed after a group of rioters looked like they were helping him up as he bled from his mouth. The man was on his way to buy food to break his Ramadan fast,http://www.guardian.co.uk/uk/blog/2011/aug/10/manchester-riots-uk-disorder-day-four-live#block-52,,placemark_circle
,"August 8, 2011",Monday,Jubilee Crescent,"Jubilee Crescent, Coventry, West Midlands CV6 3EX",Coventry,"Youths went on a wrecking spree in Jubilee Crescent in Radford on Monday night, smashing windows at four businesses, including a charity shop, which was also raided by a masked gang",http://www.coventrytelegraph.net/news/coventry-news/2011/08/10/coventry-police-step-up-patrols-to-prevent-spread-of-riots-92746-29210360/,,placemark_circle
0:54:00,"August 8, 2011",Monday,"Greggs, Christchurch Road, Reading ","51.44308, -0.95564",Thames Valley,"A window was smashed at Greggs, in Christchurch Road, Reading ",http://www.thamesvalley.police.uk/newsevents-news-item.htm?id=186684,,placemark_circle
12:54:00,"August 9, 2011",Tuesday,Cyber Candy,"80 Bull Street, BIRMINGHAM, B4 6AB",Birmingham,Boarded up windows after damage to store front on Monday night,http://yfrog.com/kedm23j,http://desmond.yfrog.com/Himg734/scaled.php?tn=0&server=734&filename=dm23.jpg&xsize=640&ysize=640,placemark_circle
,"August 9, 2011",Monday,Richer Sounds,"48 East Street, Bromley BR1 1QW",Bromley,"Shop looted, windows smashed",http://www.newsshopper.co.uk/news/9184210.UPDATE__Richer_Sounds_smashed_in__Bromley_High_Street_and_Bromley_South_closed/,,placemark_circle
19:00:00,"August 9, 2011",Tuesday,Money Shop,"46 Hankinson Way, Salford",Salford,Shop looted,Agency reports,,placemark_circle
19:38:00,"August 9, 2011",Tuesday,Diesel,Manchester M2 4NJ,Manchester,ITV reporter and camera crew attacked as youths loot shop,http://www.twitter.com/mtattersallitv,,placemark_circle
19:30:00,"August 9, 2011",Tuesday,Bang & Olufsen,"55 King St, Manchester M2 4LQ",Manchester,Shop looted,Eyewitness report,,placemark_circle
19:57:00,"August 9, 2011",Tuesday,Swarovski,"53.4876, -2.244",Manchester,Shop looted,http://yfrog.com/h7n7jimj,http://yfrog.com/h7n7jimj,placemark_circle
20:00:00,"August 9, 2011",Tuesday,Tesco Express,"PRINCESS STREET, MANCHESTER, GREATER MANCHESTER, M2 4EW",Manchester,Shop looted,Agency reports,,placemark_circle
,"August 9, 2011",Monday,Bromley South rail station,High Street BROMLEY Greater London BR1 1LX,Bromley,Train station closed by rioting,http://www.newsshopper.co.uk/news/9184210.UPDATE__Richer_Sounds_smashed_in__Bromley_High_Street_and_Bromley_South_closed/,,placemark_circle
,"August 9, 2011",Monday,Argos,"17 The Mall  Bromley, Greater London  BR1 1TR",Bromley,Shop looted,http://www.newsshopper.co.uk/news/9184210.UPDATE__Richer_Sounds_smashed_in__Bromley_High_Street_and_Bromley_South_closed/,,placemark_circle
10:00:00,"August 9, 2011",Tuesday,Primark,"162 High Street, Bromley, BR1 1HE",Bromley,Store window found smashed,http://yfrog.com/kjd3ymnj,http://desmond.yfrog.com/Himg739/scaled.php?tn=0&server=739&filename=d3ymn.jpg&xsize=640&ysize=640,placemark_circle
17:47:00,"August 9, 2011",Tuesday,West Bromwich High Street,"52.51868, -1.9935",Sandwell,Two cars on fire - police on location,http://twitter.com/#!/WMPolice/statuses/100970929722626048,,placemark_circle
19:25:00,"August 9, 2011",Tuesday,Piccadilly Gardens,"Piccadilly Gardens, Manchester M60 1HX",Manchester,Youths clash with police,Channel 4 news,,placemark_circle
19:37:00,"August 9, 2011",Tuesday,Arndale Centre,"53.48437, -2.24106",Manchester,Shops broken into. Foot asylum looted by hundreds of youths,Channel 4 News,,placemark_circle
19:00:00,"August 9, 2011",Tuesday,Bargain Booze,"295-297 Littleton Road, City Centre, Salford",Salford,Shop looted,Agency reports,,placemark_circle
17:49:00,"August 9, 2011",Tuesday,Wolverhampton,"52.58524, -2.12708",Wolverhampton City Council,Some shops have been broken into and police officers on location,http://twitter.com/#!/WMPolice/statuses/100970929722626048,,placemark_circle
18:37:00,"August 9, 2011",Tuesday,Salford,"53.48931, -2.28690",Salford City Council,Shops smashed and BBC cameraman attacked,http://www.bbc.co.uk/news/uk-england-manchester-14467588,,placemark_circle
19:00:00,"August 9, 2011",Tuesday,Miss Selfridge,"74 Market Street, Manchester, Lancashire. M1 1PN",Manchester,Shop windows broken and building set on fire,Channel 4 news,,placemark_circle
,"August 9, 2011",Monday,Square Peg pub,"Corporation Street, West Midlands, Birmingham B4 6PH",Birmingham,"Window kicked in, customers barricaded inside",http://www.birminghammail.net/news/top-stories/2011/08/09/birmingham-city-centre-violence-an-eyewitness-account-of-how-rush-hour-turned-into-terror-97319-29202618/,,placemark_circle
,"August 9, 2011",Monday,Orange shop,"Unit 4, 79/84 High Street, Birmingham B4 7TE",Birmingham,"Shop looted, windows smashed",http://www.birminghammail.net/news/top-stories/2011/08/09/birmingham-city-centre-violence-city-centre-workers-lock-themselves-in-as-rioters-raid-stores-97319-29202617/,,placemark_circle
21:00:00,"August 9, 2011",Monday,Reeves furniture store,Croydon,Croydon,A large furniture showroom was engulfed and destroyed. Plumes of smoke were still coming from the burnt out building the following day,http://www.guardian.co.uk/uk/blog/2011/aug/09/london-riots-violence-looting-live#block-17,,placemark_circle
,"August 9, 2011",Monday,T-Mobile,"47/49 Corporation Street, Birmingham B2 4LS",Birmingham,"Shop looted, windows smashed",http://www.birminghammail.net/news/top-stories/2011/08/09/birmingham-city-centre-violence-city-centre-workers-lock-themselves-in-as-rioters-raid-stores-97319-29202617/,,placemark_circle
,"August 9, 2011",Monday,Austin Reed,"67 Temple Row
Birmingham
B2 5LS",Birmingham,"Shop looted, windows smashed",http://www.birminghammail.net/news/top-stories/2011/08/09/birmingham-city-centre-violence-city-centre-workers-lock-themselves-in-as-rioters-raid-stores-97319-29202617/,,placemark_circle
,"August 9, 2011",Monday,Jessops,"Unit 3, 55 Temple Row, Birmingham, West Midlands",Birmingham,"Shop looted, windows smashed",http://www.birminghammail.net/news/top-stories/2011/08/09/birmingham-city-centre-violence-city-centre-workers-lock-themselves-in-as-rioters-raid-stores-97319-29202617/,,placemark_circle
2:50:00,"August 9, 2011",Monday,Brent,"Brent, North West London",Brent,A police officer was injured after a car was driven into him while he was trying to stop looters. He is in a stable condition in hospital. A second officer suffered minor injuries.,http://www.guardian.co.uk/uk/blog/2011/aug/09/london-riots-violence-looting-live#block-7,,placemark_circle
19:30:00,"August 9, 2011",Monday,McDonalds,"55 Temple Row, Birmingham City Centre Birmingham B2 5LT",Birmingham,"Shop looted, windows smashed",http://www.birminghammail.net/news/top-stories/2011/08/09/birmingham-city-centre-violence-city-centre-workers-lock-themselves-in-as-rioters-raid-stores-97319-29202617/,,placemark_circle
,"August 9, 2011",Monday,Cornwall street,"Cornwall St Birmingham, West Midlands B3",Birmingham,Man in his 20s received a serious head injury,http://www.birminghammail.net/news/birmingham-news/2011/08/09/birmingham-city-centre-violence-juveniles-among-more-than-80-arrested-97319-29202973/#ixzz1UWBNRsVB,,placemark_circle
,"August 9, 2011",Tuesday,Rye Lane,"Rye Lane, London SE15",Peckham,Road closed after rioting,http://www.guardian.co.uk/uk/blog/2011/aug/09/london-riots-violence-looting-live#block-19,,placemark_circle
,"August 9, 2011",Tuesday,Myrtle Parade,"Liverpool, Merseyside L7 7EL",Liverpool,Mob attack a fire crew as they tried to tackle a burning car,http://www.liverpoolecho.co.uk/liverpool-news/local-news/2011/08/09/liverpool-riots-see-police-attacked-and-cars-set-on-fire-gallery-video-100252-29202979/2/#ixzz1UWK7y7FS,,placemark_circle
,"August 9, 2011",Tuesday,Station Road,"51.56915, 0.12984",Barking,Road closed after rioting,http://www.guardian.co.uk/uk/blog/2011/aug/09/london-riots-violence-looting-live#block-19,,placemark_circle
,"August 9, 2011",Monday,Tesco Express,"MYRTLE STREET,
LIVERPOOL,
MERSEYSIDE,
L7 7EL.",Liverpool,Tesco Express store reportedly looted,http://www.liverpoolecho.co.uk/liverpool-news/local-news/2011/08/09/liverpool-riots-see-police-attacked-and-cars-set-on-fire-gallery-video-100252-29202979/4/,,placemark_circle
,"August 9, 2011",Monday,Admiral Street Police Station,"Admiral Street
Liverpool
L8 8JN",Liverpool,"Crowd gather around police station, windows smashed and van set on fire",http://www.liverpoolecho.co.uk/liverpool-news/local-news/2011/08/09/liverpool-riots-ben-rossington-s-report-as-city-streets-descend-into-chaos-100252-29203083/2/,,placemark_circle
,"August 9, 2011",Monday,Tesco Express,"90-98 Broadmead
Stokes Croft, Bristol",Bristol,Store windows smashed,http://www.bbc.co.uk/news/uk-england-bristol-14454726,,placemark_circle
0:30:00,"August 9, 2011",Monday,Cabot Circus,"51.45891, -2.58554",Bristol,Gangs of youth gather,http://www.bbc.co.uk/news/uk-england-bristol-14454726,,placemark_circle
1:30:00,"August 9, 2011",Monday,Gloucester Road,"51.48149, -2.5881",Bristol,Bottles thrown at police,http://www.bbc.co.uk/news/uk-england-bristol-14454726,,placemark_circle
,"August 9, 2011",Monday,Portland Square,"51.46066, -2.58565",Bristol,Police and rioters clash,http://www.bbc.co.uk/news/uk-england-bristol-14454726,,placemark_circle
0:30:00,"August 9, 2011",Monday,Dean Street,"51.46187, -2.58540",Bristol,Police and rioters clash,http://www.thisisbristol.co.uk/Bristol-riots-eye-witness-report/story-13096551-detail/story.html,,placemark_circle
1:00:00,"August 9, 2011",Monday,Bishop Street,"51.461783, -2.584891",Bristol,Police and rioters clash,http://www.thisisbristol.co.uk/Bristol-riots-eye-witness-report/story-13096551-detail/story.html,,placemark_circle
1:00:00,"August 9, 2011",Monday,Jamaica Inn,"2-4, Grosvenor Road, Bristol, Bristol, BS2 8XW",Bristol,Police and rioters clash in first major clash,http://www.thisisbristol.co.uk/Bristol-riots-eye-witness-report/story-13096551-detail/story.html,,placemark_circle
2:30:00,"August 9, 2011",Monday,Ashley Road,"51.46540, -2.58447",Bristol,Police and rioters clash,,,placemark_circle
,"August 9, 2011",Monday,Thomas Sabo jewellers,"Brigstowe St, Bristol, Avon BS1 3BH",Bristol,Jewellers' windows smashed and shop looted,Agency reports,,placemark_circle
,"August 9, 2011",Monday,Cabot Circus shopping centre,"Bond Street, Cabot Circus Bristol, Bristol BS1 3DJ",Bristol,Shopping centre attacked,Agency reports,,placemark_circle
,"August 9, 2011",Monday,Gas main,"51.4689, -2.5857",Bristol,Gas main set alight,Agency reports,,placemark_circle
,"August 9, 2011",Monday,Vodafone shop,"156 Kilburn High Road
	London
	NW6 4JD",Brent,Shop looted and smashed in,Eyewitness report,,placemark_circle
,"August 9, 2011",Monday,Chatham,"Chatham, Kent",Kent,"Kent police have said that 10 men have been arrested in Medway following incidents of vandalism in Chatham, Rainham and Gillingham.",http://www.guardian.co.uk/uk/blog/2011/aug/09/london-riots-violence-looting-live#block-24,,placemark_circle
,"August 9, 2011",Monday,Rainham,Rainham,Kent,"Kent police have said that 10 men have been arrested in Medway following incidents of vandalism in Chatham, Rainham and Gillingham.",http://www.guardian.co.uk/uk/blog/2011/aug/09/london-riots-violence-looting-live#block-24,,placemark_circle
,"August 9, 2011",Monday,Gillingham,Gillingham,Kent,"Kent police have said that 10 men have been arrested in Medway following incidents of vandalism in Chatham, Rainham and Gillingham.",http://www.guardian.co.uk/uk/blog/2011/aug/09/london-riots-violence-looting-live#block-24,,placemark_circle
0:55:00,"August 9, 2011",Monday,"New Street, Chatham","New St
Chatham ME4 6RH",Medway,Cars set on fire,http://www.bbc.co.uk/news/uk-england-kent-14455844,,placemark_circle
,"August 9, 2011",Monday,Lavender Hill,Clapham,Clapham,Armoured vehicles — known as Jenkels — were brought in during the early hours of the morning in Clapham Junction where much of the worst looting and arson took place. The vehicles were driven onto Lavender Hill to push back a crowd of 150 looters who had smashed up Debenhams and other stores and businesses in the area.,http://www.guardian.co.uk/uk/blog/2011/aug/09/london-riots-violence-looting-live#block-26,,placemark_circle
1:00:00,"August 9, 2011",Monday,Maidstone Road Chatham,"51.3610, 0.5155",Medway,Cars set on fire,http://www.bbc.co.uk/news/uk-england-kent-14455844,,placemark_circle
1:30:00,"August 9, 2011",Monday,"Eldon Street, Chatham","51.38174, 0.53102",Medway,Cars set on fire,http://www.bbc.co.uk/news/uk-england-kent-14455844,,placemark_circle
,"August 9, 2011",Monday,Pembury Estate,"Pembury Estate, Hackney, Greater London E8 1",Hackney,Scene of much of yesterdays violence and rioting,http://www.guardian.co.uk/uk/blog/2011/aug/09/london-riots-violence-looting-live#block-28,,placemark_circle
,"August 9, 2011",Monday,Clarence convenience store,"50-52 Clarence Road, London E5 8HB",Hackney,Looted and shutters covered in graffiti,http://www.guardian.co.uk/uk/blog/2011/aug/09/london-riots-violence-looting-live#block-28,,placemark_circle
,"August 9, 2011",Monday,Clarks shoe shop,"61/63 Rye Lane, Greater London SE15 5EX",Peckham,Looters broke into a Clarks shoe shop by throwing a bin through a window,http://www.guardian.co.uk/uk/blog/2011/aug/09/london-riots-violence-looting-live#block-31,,placemark_circle
,"August 9, 2011",Monday,Primark,"51-57 Rye Ln, LONDON SE15 5EY",Peckham,Smashed glass,http://www.guardian.co.uk/uk/blog/2011/aug/09/london-riots-violence-looting-live#block-31,,placemark_circle
,"August 9, 2011",Tuesday,Hackney Town Hall,"Mare Street, London E8 1EA",Hackney,Reportedly has been evacuated due to riot risk in London Fields,http://www.guardian.co.uk/uk/blog/2011/aug/09/london-riots-violence-looting-live#block-94,,placemark_circle
,"August 9, 2011",Tuesday,Albert Street,Albert Street Birmingham B5 5,Birmingham,Vehicle set on fire,Agency reports,,placemark_circle
,"August 9, 2011",Tuesday,Pretty Green,"81 King Street, Manchester M2 4AH",Manchester,Former Oasis singer Liam Gallagher's shop looted,Agency reports,,placemark_circle
,"August 9, 2011",Tuesday,H Pollock Jewellers,13  Shudehill Manchester Greater Manchester M4 2AF,Manchester,"Jewellers looted, windows smashed",Agency reports,,placemark_circle
19:30:00,"August 9, 2011",Tuesday,Salford Shopping City,1A Hankinson Way Salford M6 5JA,Salford,200 youths confront police,Agency reports,,placemark_circle
,"August 9, 2011",Tuesday,3 Mobile,"24 St Ann's Square, Manchester M2 7JB",Manchester,Shop looted,Agency reports,,placemark_circle
,"August 9, 2011",Tuesday,Ugg,Manchester M1 1AD,Manchester,Shoe store has windows smashed,http://menmedia.co.uk/manchestereveningnews/news/s/1455173_live-blog---15-arrested-after-disturbances-in-manchester-and-salford,,placemark_circle
,"August 9, 2011",Tuesday,Park Road South area,"53.39057, -3.04008",Birkenhead,Reports of up to 100 youths wrecking vehicles in the Park Road South area,http://www.guardian.co.uk/uk/blog/2011/aug/10/manchester-riots-uk-disorder-day-four-live#block-5,,placemark_circle
,"August 9, 2011",Tuesday,Meadows Police station,"52.94203, -1.15936
",Nottingham,Meadows Police station was attacked by a gang of between 15-20 males and a police car was set alight outside,http://www.guardian.co.uk/uk/blog/2011/aug/10/manchester-riots-uk-disorder-day-four-live#block-6,,placemark_circle
16:30:00,"August 9, 2011",Tuesday,Job Centre,"57 Queen Street, City Centre, Wolverhampton WV1 3AF",Wolverhampton,Windows smashed by gangs that gathered nearby at Queen Square,http://www.guardian.co.uk/uk/blog/2011/aug/10/manchester-riots-uk-disorder-day-four-live#block-9,,placemark_circle
,"August 9, 2011",Tuesday,Cafe,"53.48072, -2.2481",Manchester,Windows smashed by rioters,http://www.guardian.co.uk/uk/2011/aug/09/riots-salford-wolverhampton-west-bromwich,,placemark_circle
22:00:00,"August 9, 2011",Monday,"Barns Road, Oxford","51.72935, -1.21090",Oxford,"Reports of bin fires in Barns Road, Oxford",http://www.thamesvalley.police.uk/newsevents-news-item.htm?id=186684,,placemark_circle
0:20:00,"August 9, 2011",Tuesday,"Macro store in Elgar Road South, Reading","51.44185, -0.97135",Reading,Police made nine arrests following a burglary at the Macro store in Elgar Road South.,http://www.thamesvalley.police.uk/newsevents-news-item.htm?id=186684,,placemark_circle
0:30:00,"August 9, 2011",Monday,The Great Harry Pub,7-9 Wellington Street Woolwich Greater London SE18 6NY,Greenwich,Gutted by fire,http://www.bexleytimes.co.uk/news/woolwich_riots_pub_bank_and_police_car_on_fire_1_988302,,placemark_circle
,"August 9, 2011",Monday,Coral,11 Brewery Road London SE18 7PS,Greenwich,Broken into and vandalised,http://www.wharf.co.uk/2011/08/woolwich-stunned-after-night-o-1.html,,placemark_circle
,"August 9, 2011",Tuesday,Bordesley Street,"Bordesley St Birmingham, West Midlands B5",Birmingham,Vehicle set on fire,Agency reports,,placemark_circle
,"August 9, 2011",Tuesday,Sainsburys,130-136 Deansgate Manchester M3 2GQ,Manchester,Supermarket looted,Agency reports,,placemark_circle
,"August 9, 2011",Tuesday,Life clothes store,"15 Old Bank Street, Manchester City Centre Manchester M2 7PE",Manchester,Shop looted,Agency reports,,placemark_circle
,"August 9, 2011",Tuesday,Canning Circus Police Station,"Derby Road, Nottingham, Nottinghamshire NG7 1LS",Nottingham,Police station was firebombed by a group of up to 40 men,http://www.guardian.co.uk/uk/blog/2011/aug/09/london-uk-riots-day-four-live#block-16,,placemark_circle
,"August 9, 2011",Tuesday,Marks & Spencer,"42 High Street Birmingham, West Midlands B4 7SS",Birmingham,"Shop attacked, windows smashed",Agency reports,,placemark_circle
,"August 9, 2011",Tuesday,Orange,"23 Saint Ann's Square, Manchester, Greater Manchester M2 7PS",Manchester,Shop looted,Agency reports,,placemark_circle
,"August 9, 2011",Tuesday,Patisserie Valerie,2-4 St Ann Street Deansgate Manchester M3 2BW,Manchester,Cake shop windows smashed,http://menmedia.co.uk/manchestereveningnews/news/s/1455173_live-blog---15-arrested-after-disturbances-in-manchester-and-salford,,placemark_circle
,"August 9, 2011",Tuesday,Kro Bar,"One Piccadilly Gardens,
Unit A and B,
Manchester,
M1 1RG",Manchester,Windows smashed in,https://twitter.com/#!/amckeeganMEN/status/101041451969953793,,placemark_circle
,"August 9, 2011",Tuesday,Cafe Nero,"Unit 2, Piccadilly Gardens, Manchester, M1 1RG",Manchester,Windows smashed in,https://twitter.com/#!/amckeeganMEN/status/101041451969953793,,placemark_circle
,"August 9, 2011",Tuesday,Clarendon College,Pelham Avenue Nottingham NG5 1A,Nottingham,A fire broke out Clarendon College in Sherwood Rise following a fire bomb attack,http://www.guardian.co.uk/uk/blog/2011/aug/10/manchester-riots-uk-disorder-day-four-live#block-6,,placemark_circle
16:30:00,"August 9, 2011",Tuesday,Queen Square,"52.58629, -2.12843
",Wolverhampton,Up to 300 youths gathered there as riot police formed blockades in an attempt to cut off nearby Dudley Street,http://www.guardian.co.uk/uk/blog/2011/aug/10/manchester-riots-uk-disorder-day-four-live#block-9,,placemark_circle
16:30:00,"August 9, 2011",Tuesday,Burton Menswear,"8 Dudley Street, Wolverhampton WV1 3EY",Wolverhampton,Smashed windows by gangs during ther riots,http://www.guardian.co.uk/uk/blog/2011/aug/10/manchester-riots-uk-disorder-day-four-live#block-9,,placemark_circle
19:37:00,"August 9, 2011",Tuesday,Foot Asylum,"Unit L1, Arndale Centre, Corporation Street, Manchester, Greater Manchester M4 3AB",Manchester,Around 100 youths looted Foot Asylum in the Arndale Centre after two raiders smashed open the glass entrance with a large stone slab,http://www.guardian.co.uk/uk/2011/aug/09/riots-salford-wolverhampton-west-bromwich,,placemark_circle
,"August 9, 2011",Tuesday,Pretty Green,81 King Street Manchester M2 4ST,Manchester,"Owned by former Oasis singer Liam Gallagher, the store was hit by looters",http://www.guardian.co.uk/uk/2011/aug/09/riots-salford-wolverhampton-west-bromwich,,placemark_circle
19:30:00,"August 9, 2011",Tuesday,Piccadilly Museums,"53.4819, -2.2365",Manchester,An amusement arcade had been plundered. Machines were overturned in Piccadilly Museums with coins strewn across the carpet,http://www.guardian.co.uk/uk/2011/aug/09/riots-salford-wolverhampton-west-bromwich,,placemark_circle
20:06:00,"August 9, 2011",Tuesday,70 men started chasing local youths down the road shouting at them,"51.6585, -0.049",Enfield,70 men started chasing local youths down the road shouting at them,http://www.guardian.co.uk/uk/blog/2011/aug/09/london-riots-day-four-live-blog#block-98#block-98,,placemark_circle
20:30:00,"August 9, 2011",Monday,"Giles Road, Littlemore, Oxford","51.72231, -1.21923",Oxford,"The front window of a property in Giles Road, Littlemore, was smashed some time between 7.30pm and 9.30pm ",http://www.thamesvalley.police.uk/newsevents-news-item.htm?id=186684,,placemark_circle
21:40:00,"August 9, 2011",Monday,"Hollow Way, Oxfordshire","51.73984, -1.20582",Oxford,A 48-year-old man had to be taken to the John Radcliffe Hospital for treatment for smoke inhalation after a fire at some flats in Hollow Way.,http://www.thamesvalley.police.uk/newsevents-news-item.htm?id=186684,,placemark_circle
22:00:00,"August 9, 2011",Monday,"West Oxford Community Centre, Botley Road, Oxford","51.7540, -1.2749",Oxford,A bin was set alight outside the West Oxford Community Centre in Botley Road,http://www.thamesvalley.police.uk/newsevents-news-item.htm?id=186684,,placemark_circle
22:30:00,"August 9, 2011",Tuesday,A car was set alight and officers came under attack,"52.39452, -1.50412",Coventry,"Officers attended the scene following reports a parked car was ablaze and a petrol bomb had been thrown at a passing vehicle.  More than 20 police, including public order specialists, confronted a small crowd and gave chase as they tried fleeing the scene.",http://www.west-midlands.police.uk/latest-news/press-release.asp?ID=2401,,placemark_circle
1:39:00,"August 9, 2011",Monday,"Mansfield Road, Oxford","51.75503, -1.25178
",Oxford,"The contents of a skip in Mansfield Road, near to the junction of Holywell Street, were set alight.",http://www.thamesvalley.police.uk/newsevents-news-item.htm?id=186684,,placemark_circle
2:46:00,"August 9, 2011",Monday,20 firefighters attended a blaze at a shopping centre and offices,"51.48665, 0.06512",Greenwich,20 firefighters attended a blaze at a shopping centre and offices on Woolwich New Road,http://www.newsshopper.co.uk/news/9184248.VIDEO__Wetherspoons_burning_amid_Woolwich_riots/,,placemark_circle
,"August 9, 2011",Monday,Wimpy,"22-24 Thomas Street, London SE18 6HT",Greenwich,Smashed windows and vandalised,http://www.wharf.co.uk/2011/08/woolwich-stunned-after-night-o-1.html,,placemark_circle
,"August 9, 2011",Monday,Charles Dance Jewellers,"50 Hare Street, Greenwich, London SE18",Greenwich,"Broken into and looted. Estimated £60,000 worth of jewellery stolen",http://www.bexleytimes.co.uk/news/london_riots_the_aftermath_in_woolwich_1_989040,,placemark_circle
,"August 9, 2011",Tuesday,Leicester City Centre,"52.6414, -1.130",Leicestershire,Leicestershire police said officers had arrested 13 people following disturbances in Leicester city centre,http://www.guardian.co.uk/uk/blog/2011/aug/10/manchester-riots-uk-disorder-day-four-live#block-6,,placemark_circle
16:30:00,"August 9, 2011",Tuesday,No 1 Pizza,"28 Market Street Wolverhampton, Staffordshire WV1 3AG",Wolverhampton,"The shutter at No 1 Pizza, in Market Street, was also torn, leaving shopkeepers unable to close the building",http://www.guardian.co.uk/uk/blog/2011/aug/10/manchester-riots-uk-disorder-day-four-live#block-9,,placemark_circle
21:30:00,"August 9, 2011",Tuesday,Brunswick Road,"51.86221, -2.24615",Gloucstershire,Derelict building set on fire amidst rioting in the town,http://www.guardian.co.uk/uk/blog/2011/aug/10/manchester-riots-uk-disorder-day-four-live#block-11,,placemark_circle
21:30:00,"August 9, 2011",Tuesday,Barton Road,"51.85874, -2.2324",Gloucestershire,Scene of some of Tuesday evening's rioting,http://www.guardian.co.uk/uk/blog/2011/aug/10/manchester-riots-uk-disorder-day-four-live#block-11,,placemark_circle
,"August 9, 2011",Tuesday,Car set on fire in Albert Street,"52.48094, -1.88987",Birmingham,A car was set on fire in Albert Street by a large gang retreating from the Dale End part of the centre,http://www.guardian.co.uk/uk/2011/aug/09/riots-salford-wolverhampton-west-bromwich,,placemark_circle
,"August 9, 2011",Tuesday,House of Fraser,"52.48146, -1.89699",Birmingham,House of Fraser was attacked along with a nearby jewellery shop before a line of riot police with batons drove the crowd away,http://www.guardian.co.uk/uk/2011/aug/09/riots-salford-wolverhampton-west-bromwich,,placemark_circle
20:00:00,"August 9, 2011",Tuesday,Cardiff bay,"51.45917, -3.1861",Cardiff,attempted burglary at the JD Sports store,http://www.south-wales.police.uk/en/content/cms/news/police-attend-small-/,,placemark_circle
,"August 9, 2011",Tuesday,Two burnt out cars on Lawrence Road,"53.39710, -2.93436",Liverpool,Two burnt out cars found after the violence of Tuesday evening,http://www.bbc.co.uk/news/uk-14479285,,placemark_circle
,"August 9, 2011",Tuesday,Liver Launderette,"104 Prescot Road Fairfield, Liverpool, Merseyside L7 0JA",Liverpool,All the windows have been smashed but apparently not looted,http://www.bbc.co.uk/news/uk-14479285,,placemark_circle
8:00:00,"August 9, 2011",Tuesday,Cardiff,"51.47622, -3.2499",Cardiff,criminal damage to a takeaway shop in Cowbridge Road West,http://www.south-wales.police.uk/en/content/cms/news/police-attend-small-/,,placemark_circle
,"August 9, 2011",Tuesday,Belal's newsagent,"53.39703, -2.93432",Liverpool,"Looters also kicked in half the door at Belal's newsagent in Lawrence Road, got in and stole all the cigarettes and £500 cash",http://www.bbc.co.uk/news/uk-14479285,,placemark_circle
,"August 9, 2011",Monday,"ASDA Longhill Road - Off Bradford Road, Huddersfield ","53.683, -1.776",West Yorkshire,Police were injured as objects were thrown at them in their police car when trying to stop a group of 4 youths stealing TVs from the ASDA store.,West Yorkshire Police Press Office,,placemark_circle
0:30:00,"August 9, 2011",Monday,Police car set on fire near Woolwich DLR station,"51.498, 0.067",Greenwich,Police car was set alight near Woolwich DLR station,http://www.bexleytimes.co.uk/news/london_riots_the_aftermath_in_woolwich_1_989040,,placemark_circle
0:30:00,"August 9, 2011",Monday,"Asda (Greenwich shopping park, Charlton)","Bugsby's Way, Greenwich, London SE7 7ST",Greenwich,Reportedly set on fire during Monday's violence,http://www.newsshopper.co.uk/news/9184248.VIDEO__Wetherspoons_burning_amid_Woolwich_riots/,,placemark_circle
,"August 9, 2011",Monday,Blue Inc Clothes store,"47-49 Powis Street Thamesmead West, London SE18 6HZ",Greenwich,Set on fire,http://www.bexleytimes.co.uk/news/london_riots_the_aftermath_in_woolwich_1_989040,,placemark_circle
20:30:00,"August 9, 2011",Tuesday,Exchange Road area of Watford,"51.662, -0.397",Hertfordshire,A number of vehicles had been damaged in the Exchange Road area of Watford,http://www.bbc.co.uk/news/uk-england-beds-bucks-herts-14477372,,placemark_circle
,"August 10, 2011",Tuesday,Smithdown Road,"Smithdown Rd Liverpool, Merseyside L15",Liverpool,200 missile-throwing youths clash with police,Press Association,,placemark_circle
,"August 10, 2011",Tuesday,Jessops,27 Princess Street Manchester Lancashire M2 4HH,Manchester,"Camera store looted, near town hall",Agency,,placemark_circle
,"August 10, 2011",Wednesday,Three men killed on Dudley Road after being hit by a car,"52.48735, -1.9372",Birmingham,Three men have died following a road collision in the Winson Green area of Birmingham which detectives are treating as murder. The men are believed to have been pedestrians and it is unclear if the collision was related to the disturbances in other parts of the city,http://www.guardian.co.uk/uk/2011/aug/10/birmingham-riots-three-killed-crash,,placemark_circle
21:30:00,"August 10, 2011",Wednesday,"Eltham, London","51.457, 0.054",Greenwich,Missiles thrown at officers in Eltham. Incident dealt with and group dispersed. Police remain on scene.,Met Police,,placemark_circle_highlight
